종목코드,회사명,업종,업종명,결산기준일,보고서종류,자산총계,유동자산,비유동자산,부채총계,유동부채,비유동부채,자본총계,이익잉여금(결손금),자본총계per자산총계,부채총계per자산총계,cluster
[054040],한국컴퓨터,262.0,전자부품 제조업,2019-12-31,사업보고서,128593747968.0,66496425984.0,62097321984.0,34598002688.0,17214760960.0,17383241728.0,93995745280.0,78845132800.0,0.7309511291590197,0.2690488708409803,2
[054040],한국컴퓨터,262.0,전자부품 제조업,2020-03-31,1분기보고서,131587858432.0,69729943552.0,61857914880.0,38706511872.0,21690839040.0,17015671808.0,92881346560.0,78359928832.0,0.7058504307826989,0.2941495692173011,2
[050540],한국코퍼레이션,759.0,기타 사업지원 서비스업,2017-12-31,사업보고서,80254713856.0,32386048000.0,47868665856.0,41673682944.0,38592094208.0,3081591040.0,38581030912.0,-37025685504.0,0.4807322717669326,0.5192677282330674,5
[050540],한국코퍼레이션,759.0,기타 사업지원 서비스업,2018-12-31,사업보고서,82540027904.0,47933112320.0,34606915584.0,40222195712.0,37130940416.0,3091256064.0,42317828096.0,-20237000704.0,0.5126946182429051,0.4873053321326874,5
[050540],한국코퍼레이션,759.0,기타 사업지원 서비스업,2019-03-31,1분기보고서,101497774080.0,30157629440.0,71340138496.0,60345110528.0,50993225728.0,9351886848.0,41152659456.0,-23561451520.0,0.40545381245074097,0.5945461471936943,0
[050540],한국코퍼레이션,759.0,기타 사업지원 서비스업,2019-06-30,반기보고서,109969539072.0,31474479104.0,78495064064.0,72447582208.0,55382130688.0,17065453568.0,37521956864.0,-27651266560.0,0.3412031839056211,0.6587968160943789,0
[050540],한국코퍼레이션,759.0,기타 사업지원 서비스업,2019-09-30,3분기보고서,108108783616.0,31935432704.0,76173352960.0,75005018112.0,59511443456.0,15493570560.0,33103769600.0,-31977074688.0,0.30620795547551305,0.6937920824122502,0
[050540],한국코퍼레이션,759.0,기타 사업지원 서비스업,2019-12-31,사업보고서,112899792896.0,26593652736.0,86306136064.0,74321805312.0,54038302720.0,20283500544.0,38577991680.0,-30549712896.0,0.3417011731415391,0.6582988631384212,0
[050540],한국코퍼레이션,759.0,기타 사업지원 서비스업,2020-03-31,1분기보고서,103695114240.0,28218204160.0,75476910080.0,76635545600.0,56086765568.0,20548777984.0,27059566592.0,-30416699392.0,0.26095314895329824,0.7390468312964945,4
[161890],한국콜마,204.0,기타 화학제품 제조업,2017-12-31,사업보고서,668548530176.0,365921206272.0,302627356672.0,335912009728.0,211960053760.0,123951955968.0,332636553216.0,180655259648.0,0.4975503470607154,0.5024497019529289,5
[161890],한국콜마,204.0,기타 화학제품 제조업,2018-12-31,사업보고서,2186418061312.0,555180687360.0,1631237439488.0,1376591282176.0,517320212480.0,859271069696.0,809826844672.0,213242363904.0,0.3703897525371011,0.6296102774370385,0
[161890],한국콜마,204.0,기타 화학제품 제조업,2019-03-31,1분기보고서,2240340033536.0,589427048448.0,1650913050624.0,1420057378816.0,439061053440.0,980996390912.0,820282720256.0,220062728192.0,0.3661420623552942,0.633857966897408,0
