,회사명,결산기준일,자산총계,자본총계,부채총계
9015,캐스텍코리아,2019-09-30,298693787648.0,129686765568.0,169007038464.0
9016,캐스텍코리아,2019-12-31,292991008768.0,121718300672.0,171272716288.0
9017,캐스텍코리아,2020-03-31,290727657472.0,123054538752.0,167673102336.0
9018,캔서롭,2017-12-31,56975413248.0,29792897024.0,27182518272.0
9019,캔서롭,2018-12-31,61195456512.0,24353366016.0,36842090496.0
9020,캔서롭,2019-03-31,50928107520.0,35514789888.0,15413318656.0
9021,캔서롭,2019-06-30,49812897792.0,43277193216.0,6535703552.0
9022,캔서롭,2019-09-30,42975424512.0,36725374976.0,6250048000.0
9023,캔서롭,2019-12-31,30048016384.0,23557470208.0,6490544640.0
9024,캔서롭,2020-03-31,30597410816.0,22738298880.0,7859112448.0
9025,캠시스,2017-12-31,256174817280.0,65676783616.0,190498029568.0
9026,캠시스,2018-12-31,323293118464.0,102378176512.0,220914925568.0
