,0
493,ifrs-full_noncurrentliabilities
494,ifrs-full_noncurrentprovisions
495,ifrs-full_noncurrentprovisionsforemployeebenefits
496,ifrs-full_othercurrentfinancialassets
497,ifrs-full_othercurrentfinancialliabilities
498,ifrs-full_othernoncurrentfinancialassets
499,ifrs-full_othernoncurrentfinancialliabilities
500,ifrs-full_propertyplantandequipment
501,ifrs-full_reserveofchangeinfairvalueoffinancialliabilityattributabletochangeincreditriskofliability
502,ifrs-full_reserveofchangeinvalueofforeigncurrencybasisspreads
503,ifrs-full_reserveofchangeinvalueofforwardelementsofforwardcontracts
504,ifrs-full_reserveofchangeinvalueoftimevalueofoptions
505,ifrs-full_retainedearnings
506,ifrs-full_rightofuseassets
507,ifrs-full_sharepremium
508,ifrs-full_shorttermborrowings
509,ifrs-full_shorttermlegalproceedingsprovision
510,ifrs-full_shorttermmiscellaneousotherprovisions
511,ifrs-full_shorttermonerouscontractsprovision
512,ifrs-full_shorttermprovisionfordecommissioningrestorationandrehabilitationcosts
513,ifrs-full_shorttermrestructuringprovision
514,ifrs-full_shorttermwarrantyprovision
515,ifrs-full_statementoffinancialpositionabstract
516,ifrs-full_tradeandothercurrentpayables
517,ifrs-full_tradeandothercurrentreceivables
518,ifrs-full_treasuryshares
